,population,max_generations,combination_prob,mutation_prob,iteration,accuracy
213,25.0,50.0,0.7,0.05,1.0,0.596089850249584
214,25.0,50.0,0.7,0.05,1.0,0.45611480865224624
215,25.0,50.0,0.7,0.05,1.0,0.5128951747088186
216,25.0,50.0,0.7,0.05,1.0,0.3481697171381032
217,25.0,50.0,0.7,0.05,1.0,0.5212146422628952
218,25.0,50.0,0.7,0.05,1.0,0.4523710482529118
219,25.0,50.0,0.7,0.05,1.0,0.43157237936772047
220,25.0,50.0,0.7,0.05,1.0,0.4665141430948419
221,25.0,50.0,0.7,0.05,1.0,0.4213810316139767
222,25.0,50.0,0.7,0.05,1.0,0.4380199667221298
223,25.0,50.0,0.7,0.05,1.0,0.4089018302828619
224,25.0,50.0,0.7,0.05,1.0,0.42512479201331116
225,25.0,50.0,0.7,0.05,1.0,0.4444675540765391
226,25.0,50.0,0.7,0.05,1.0,0.512063227953411
227,25.0,50.0,0.7,0.05,1.0,0.5262063227953411
228,25.0,50.0,0.7,0.05,1.0,0.3714642262895175
229,25.0,50.0,0.7,0.05,1.0,0.43136439267886856
230,25.0,50.0,0.7,0.05,1.0,0.46942595673876875
231,25.0,50.0,0.7,0.05,1.0,0.5324459234608985
232,25.0,50.0,0.7,0.05,1.0,0.4059900166389351
233,25.0,50.0,0.7,0.05,1.0,0.4748336106489185
234,25.0,50.0,0.7,0.05,1.0,0.45486688851913476
235,25.0,50.0,0.7,0.05,1.0,0.507279534109817
236,25.0,50.0,0.7,0.05,1.0,0.42179700499168055
237,25.0,50.0,0.7,0.05,1.0,0.5671797004991681
238,25.0,50.0,0.7,0.05,1.0,0.5580282861896838
239,25.0,50.0,0.7,0.05,1.0,0.4442595673876872
240,25.0,50.0,0.7,0.05,1.0,0.3639767054908486
241,25.0,50.0,0.7,0.05,1.0,0.40391014975041595
242,25.0,50.0,0.7,0.05,1.0,0.5757071547420965
243,25.0,50.0,0.7,0.05,1.0,0.435108153078203
244,25.0,50.0,0.7,0.05,1.0,0.3512895174708819
245,25.0,50.0,0.7,0.05,1.0,0.39309484193011646
246,25.0,50.0,0.7,0.05,1.0,0.36605657237936773
247,25.0,50.0,0.7,0.05,1.0,0.4253327787021631
248,25.0,50.0,0.7,0.05,1.0,0.5413893510815307
249,25.0,50.0,0.7,0.05,1.0,0.4966722129783694
250,25.0,50.0,0.7,0.05,1.0,0.3562811980033278
251,25.0,50.0,0.7,0.05,1.0,0.4442595673876872
252,25.0,50.0,0.7,0.05,1.0,0.4521630615640599
253,25.0,50.0,0.7,0.05,1.0,0.37915973377703827
254,25.0,50.0,0.7,0.05,1.0,0.343801996672213
255,25.0,50.0,0.7,0.05,1.0,0.3949667221297837
256,25.0,50.0,0.7,0.05,1.0,0.5014559068219634
257,25.0,50.0,0.7,0.05,1.0,0.3450499168053245
258,25.0,50.0,0.7,0.05,1.0,0.509567387687188
